,url,header,location,price,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Fellesgjeld,Omkostninger,Totalpris,Felleskost/mnd.,Tomt,Tomteareal,Kommunale avg.,Bruttoareal,Rom,Renovert år,Boligselgerforsikring,Pris med fellesgjeld,Grunnflate,Festeavgift,Utleiedel
56,https://www.finn.no/realestate/homes/ad.html?finnkode=205510980,Oppgradert enebolig med gode solforhold - havutsikt - integrert garasje,"Blåknappveien 1, 4823 Nedenes",3490000,Enebolig,Eier (Selveier),3,139 m²,180.0,,1973,F -gul,,102 920 kr,3592920.0,,,1188 m² (eiet),13 506 kr per år,,,,,,,,
57,https://www.finn.no/realestate/homes/ad.html?finnkode=191931109,Eksklusiv eiendom med fantastisk beliggenhet i hjertet av Mandal - Nydelig utsikt over havet og byen -Påmeldingsvisn.1/2,"Torjusheigata 33, 4514 Mandal",9990000,Enebolig,Eier (Selveier),4,270 m²,293.0,,1939,,,261 392 kr,10251392.0,,,829 m² (eiet),,306 m²,,,,,,,
58,https://www.finn.no/realestate/homes/ad.html?finnkode=205494433,Flott påkostet vertikaltdelt tomannsbolig,"Lauras vei 4, 4515 Mandal",2690000,Tomannsbolig,Eier (Selveier),3,88 m²,96.0,,2017,B -rød,,82 920 kr,2772920.0,,,230 m² (eiet),7 000 kr per år,,,,,,,,
59,https://www.finn.no/realestate/homes/ad.html?finnkode=205511625,"Lyngdal - Stor og lys topp- og hjørneleilighet i sentrum! 2 soverom, heis, garasje og 2 terrasser","Elvebrinken 1, 4580 Lyngdal",2430000,Leilighet,Eier (Selveier),2,85 m²,85.0,3,2001,,,72 292 kr,2502292.0,1 667 kr,,,,,3,,,,,,
60,https://www.finn.no/realestate/homes/ad.html?finnkode=205412503,Tangvall - prisgunstig 3-roms selveierleilighet - balkong - heis i bygget,"Sentrumsveien 15, 4640 Søgne",1790000,Leilighet,Eier (Selveier),2,68 m²,71.0,2,1996,F -rød,,56 292 kr,1846292.0,1 919 kr,,,9 510 kr per år,,,,,,,,
61,https://www.finn.no/realestate/homes/ad.html?finnkode=205322274,Lund - 2-roms andelsleilighet med attraktiv beliggenhet - sydvendt balkong - velkommen!,"St. Olavs vei 19C, 4631 Kristiansand S",1990000,Leilighet,Andel,1,47 m²,47.0,2,1954,F -oransje,69 098 kr,8 032 kr,2067130.0,2 895 kr,,,,,,,,,,,
62,https://www.finn.no/realestate/homes/ad.html?finnkode=205379677,"Småbruk med eldre hus, lite uthus og sag. Ca. 300 dekar. Hytte på utskilt tomt.","Tjomslandsveien 146 og 142, 4520 Lindesnes",2200000,Gårdsbruk/Småbruk,Eier (Selveier),2,60 m²,66.0,,,G -oransje,,70 670 kr,2270670.0,,,300000 m² (eiet),1 728 kr per år,,,,,,,,
63,https://www.finn.no/realestate/homes/ad.html?finnkode=205283932,Saltrød - Frittliggende enebolig over tre plan med bl.a. 3 soverom - Påmeldingsvisning 27/1!,"Lensmannsveien 1, 4810 Eydehavn",1650000,Enebolig,Eier (Selveier),3,139 m²,153.0,,1957,F -gul,,55 242 kr,1705242.0,,,511 m² (eiet),15 435 kr per år,,,,,,,,
64,https://www.finn.no/realestate/homes/ad.html?finnkode=205378473,KJERRHEIA / VÅGSBYGD - 2-ROMS UTSIKTSLEILIGHET MED PÅBYGGET INNGLASSET VERANDA,"Kjerrheia 15, 4621 Kristiansand S",1390000,Leilighet,Andel,1,40 m²,58.0,4,1977,,480 203 kr,12 927 kr,1883130.0,4 051 kr,,,,,1,,,,,,
65,https://www.finn.no/realestate/homes/ad.html?finnkode=205382435,Lekker 2- roms leilighet med stor balkong i FN8 rett ved Sjøsanden. Parkering og heis.,"Fridtjof Nansens vei 8, 4514 Mandal",2890000,Bygård/Flermannsbolig,Eier (Selveier),1,50 m²,56.0,2,2019,B -rød,,73 592 kr,2963592.0,1 000 kr,,,9 907 kr per år,,,,,,,,
66,https://www.finn.no/realestate/homes/ad.html?finnkode=205404684,Lund-Meget tiltalende rekkehus med solrik vestvendt hage med stor terrasse-Meget barnevennlig-*Garasje i rekke,"Kongsgård alle 34B, 4632 Kristiansand S",3490000,Rekkehus,Eier (Selveier),3,103 m²,103.0,,1954,,,98 820 kr,3588820.0,,,151 m² (eiet),8 912 kr per år,117 m²,,,,,,,
67,https://www.finn.no/realestate/homes/ad.html?finnkode=205167272,Flott tomannsbolig i veletablert boligområde - Solrik uteplass - Garasje i rekke,"Havoddveien 37B, 4823 Nedenes",2450000,Tomannsbolig,Eier (Selveier),3,113 m²,123.0,,1981,E -gul,,62 592 kr,2512592.0,,,426 m² (eiet),14 357 kr per år,,,,,,,,
68,https://www.finn.no/realestate/homes/ad.html?finnkode=205271131,Spennende rivingsobjekt / tomt midt på Lund! Godkjente tegninger på ombygning/påbygg,"Valhallagata 7, 4631 Kristiansand S",4500000,Enebolig,Eier (Selveier),,126 m²,136.0,,1942,,,124 142 kr,4624142.0,,,503 m² (eiet),,,,,,,,,
69,https://www.finn.no/realestate/homes/ad.html?finnkode=205406437,PÅMELDINGSVISNING torsdag 28.01 kl 16 - 17! 3-roms leilighet med fantastisk utsikt!,"Lumberodden 2, 4621 Kristiansand S",2190000,Leilighet,Eier (Selveier),2,63 m²,68.0,4,2015,,,66 320 kr,2256320.0,2 943 kr,,3612 m² (eiet),,,,,,,,,
